group,name,value
puppies,ccefbd,3.0
puppies,l8kw8z,2.0
puppies,cqfwfd,3.0
puppies,k0cac1,3.0
puppies,iqcrx3,3.0
puppies,celqqd,3.0
puppies,ey3apx,3.0
puppies,mln0ee,2.0
puppies,llsgsr,3.0
puppies,kwltzt,4.0
puppies,gps5wo,2.0
puppies,d2gerf,3.0
puppies,jkx8vr,4.0
puppies,colkkx,3.0
puppies,fzop1f,3.0
puppies,ddb40e,2.0
puppies,fmpadu,2.0
puppies,k624r2,3.0
puppies,nqj0i9,2.0
puppies,jmq0hr,3.0
puppies,j4trsd,3.0
puppies,mopyzz,2.0
puppies,il1yub,3.0
puppies,k5lhf1,3.0
puppies,jkeni1,3.0
puppies,gezi3f,2.0
puppies,fsfbe3,2.0
puppies,k2n5pv,2.0
puppies,e7emdg,3.0
puppies,f5zo20,4.0
puppies,mjgzpx,3.0
puppies,j69ij7,3.0
puppies,ehq8xt,3.0
puppies,lzte51,3.0
puppies,nlys8b,3.0
puppies,o9hpg3,3.0
puppies,hnd2et,3.0
puppies,etjo1d,3.0
puppies,fqnjo3,2.0
puppies,gejruq,3.0
puppies,kprtuu,2.0
puppies,kylck6,3.0
puppies,kkvtwz,2.0
puppies,gv4hjv,2.0
puppies,m0edkg,3.0
puppies,ksuu0s,4.0
puppies,nq1uwc,3.0
puppies,kpf0gh,3.0
puppies,jg043h,3.0
puppies,mk7ul7,3.0
puppies,i1y7wo,3.0
puppies,n48le0,3.0
puppies,fzq551,3.0
puppies,jb259u,3.0
puppies,mm93iw,2.0
puppies,fgs1ze,2.0
puppies,e3t8yw,2.0
puppies,kbsfq7,3.0
puppies,jak06h,3.0
puppies,hjad9j,2.0
puppies,ijvb6a,4.0
puppies,hyas24,4.0
puppies,fjroto,3.0
puppies,lvyokj,3.0
puppies,gxikrp,3.0
puppies,ezc1ms,3.0
puppies,fnig10,3.0
puppies,jupgy8,3.0
puppies,iw739n,3.0
puppies,cp6yze,3.0
puppies,gbjlis,2.0
puppies,jy3o7p,3.0
puppies,j23wuv,2.0
puppies,jhv07l,4.0
puppies,jikc1j,4.0
puppies,km4wbw,3.0
puppies,fbso7h,2.0
puppies,hf35fy,3.0
puppies,ct9p8u,2.0
puppies,lcgm1b,2.0
puppies,l517x0,3.0
puppies,jyazz9,3.0
puppies,kh4a15,3.0
puppies,fonlt0,3.0
puppies,krqhwu,3.0
puppies,i9dmk2,3.0
puppies,ilh764,3.0
puppies,ic2gt4,4.0
puppies,jt0f0v,4.0
puppies,keh2uj,3.0
puppies,hjyvpj,3.0
puppies,cxgdc6,3.0
puppies,izqib1,3.0
puppies,m7gtln,2.0
puppies,mrfag5,3.0
puppies,oaap6a,2.0
puppies,kl5n13,3.0
puppies,ikbu2s,3.0
