group,name,value
puppies,ccefbd,0.0
puppies,l8kw8z,0.0
puppies,cqfwfd,0.0
puppies,k0cac1,0.0
puppies,iqcrx3,0.0
puppies,celqqd,0.0
puppies,ey3apx,0.0
puppies,mln0ee,0.0
puppies,llsgsr,0.0
puppies,kwltzt,0.0
puppies,gps5wo,0.0
puppies,d2gerf,0.0
puppies,jkx8vr,0.0
puppies,colkkx,0.0
puppies,fzop1f,0.0
puppies,ddb40e,0.0
puppies,fmpadu,0.0
puppies,k624r2,0.0
puppies,nqj0i9,0.0
puppies,jmq0hr,0.0
puppies,j4trsd,0.0
puppies,mopyzz,0.0
puppies,il1yub,0.0
puppies,k5lhf1,0.0
puppies,jkeni1,0.0
puppies,gezi3f,0.0
puppies,fsfbe3,0.0
puppies,k2n5pv,0.18383838383838383
puppies,e7emdg,0.0
puppies,f5zo20,0.0
puppies,mjgzpx,0.0
puppies,j69ij7,0.0
puppies,ehq8xt,0.0
puppies,lzte51,0.0
puppies,nlys8b,0.0
puppies,o9hpg3,0.0
puppies,hnd2et,0.0
puppies,etjo1d,0.0
puppies,fqnjo3,0.0
puppies,gejruq,0.0
puppies,kprtuu,0.25595238095238093
puppies,kylck6,0.0
puppies,kkvtwz,0.0
puppies,gv4hjv,0.0
puppies,m0edkg,0.0
puppies,ksuu0s,0.0
puppies,nq1uwc,0.0
puppies,kpf0gh,0.0
puppies,jg043h,0.0
puppies,mk7ul7,0.0
puppies,i1y7wo,0.0
puppies,n48le0,0.0
puppies,fzq551,0.0
puppies,jb259u,0.0
puppies,mm93iw,0.0
puppies,fgs1ze,0.0
puppies,e3t8yw,0.0
puppies,kbsfq7,0.0
puppies,jak06h,0.0
puppies,hjad9j,0.0
puppies,ijvb6a,0.0
puppies,hyas24,0.0708502024291498
puppies,fjroto,0.0
puppies,lvyokj,0.0
puppies,gxikrp,0.0
puppies,ezc1ms,0.0
puppies,fnig10,0.0
puppies,jupgy8,0.0
puppies,iw739n,0.0
puppies,cp6yze,0.0
puppies,gbjlis,0.0
puppies,jy3o7p,0.0
puppies,j23wuv,0.0
puppies,jhv07l,0.0
puppies,jikc1j,0.0
puppies,km4wbw,0.0
puppies,fbso7h,0.0
puppies,hf35fy,0.0
puppies,ct9p8u,0.0
puppies,lcgm1b,0.0
puppies,l517x0,0.0
puppies,jyazz9,0.0
puppies,kh4a15,0.0
puppies,fonlt0,0.0
puppies,krqhwu,0.0
puppies,i9dmk2,0.0
puppies,ilh764,0.0
puppies,ic2gt4,0.20476190476190476
