group,name,value
puppies,ccefbd,23.0
puppies,l8kw8z,16.0
puppies,cqfwfd,12.0
puppies,k0cac1,11.0
puppies,iqcrx3,20.0
puppies,celqqd,14.0
puppies,ey3apx,13.0
puppies,mln0ee,24.0
puppies,llsgsr,13.0
puppies,kwltzt,15.0
puppies,gps5wo,11.0
puppies,d2gerf,15.0
puppies,jkx8vr,23.0
puppies,colkkx,13.0
puppies,fzop1f,16.0
puppies,ddb40e,19.0
puppies,fmpadu,13.0
puppies,k624r2,18.0
puppies,nqj0i9,12.0
puppies,jmq0hr,16.0
puppies,j4trsd,13.0
puppies,mopyzz,11.0
puppies,il1yub,13.0
puppies,k5lhf1,12.0
puppies,jkeni1,14.0
puppies,gezi3f,16.0
puppies,fsfbe3,14.0
puppies,k2n5pv,13.0
puppies,e7emdg,25.0
puppies,f5zo20,20.0
puppies,mjgzpx,16.0
puppies,j69ij7,16.0
puppies,ehq8xt,15.0
puppies,lzte51,11.0
puppies,nlys8b,11.0
puppies,o9hpg3,26.0
puppies,hnd2et,13.0
puppies,etjo1d,11.0
puppies,fqnjo3,16.0
puppies,gejruq,17.0
puppies,kprtuu,12.0
puppies,kylck6,22.0
puppies,kkvtwz,11.0
puppies,gv4hjv,19.0
puppies,m0edkg,16.0
puppies,ksuu0s,23.0
puppies,nq1uwc,11.0
puppies,kpf0gh,26.0
puppies,jg043h,12.0
puppies,mk7ul7,17.0
puppies,i1y7wo,23.0
puppies,n48le0,12.0
puppies,fzq551,26.0
puppies,jb259u,12.0
puppies,mm93iw,11.0
puppies,fgs1ze,21.0
puppies,e3t8yw,11.0
puppies,kbsfq7,13.0
puppies,jak06h,12.0
puppies,hjad9j,14.0
puppies,ijvb6a,16.0
puppies,hyas24,22.0
puppies,fjroto,11.0
puppies,lvyokj,14.0
puppies,gxikrp,20.0
puppies,ezc1ms,21.0
puppies,fnig10,20.0
puppies,jupgy8,12.0
puppies,iw739n,11.0
puppies,cp6yze,12.0
puppies,gbjlis,16.0
puppies,jy3o7p,19.0
puppies,j23wuv,19.0
puppies,jhv07l,20.0
puppies,jikc1j,28.0
puppies,km4wbw,20.0
puppies,fbso7h,14.0
puppies,hf35fy,11.0
puppies,ct9p8u,13.0
puppies,lcgm1b,11.0
puppies,l517x0,19.0
puppies,jyazz9,12.0
puppies,kh4a15,25.0
puppies,fonlt0,12.0
puppies,krqhwu,18.0
puppies,i9dmk2,26.0
puppies,ilh764,13.0
puppies,ic2gt4,20.0
puppies,jt0f0v,26.0
puppies,keh2uj,12.0
puppies,hjyvpj,21.0
puppies,cxgdc6,15.0
puppies,izqib1,12.0
