group,name,value
puppies,ccefbd,21.0
puppies,l8kw8z,14.0
puppies,cqfwfd,11.0
puppies,k0cac1,7.0
puppies,iqcrx3,17.0
puppies,celqqd,12.0
puppies,ey3apx,12.0
puppies,mln0ee,20.0
puppies,llsgsr,10.0
puppies,kwltzt,12.0
puppies,gps5wo,10.0
puppies,d2gerf,14.0
puppies,jkx8vr,15.0
puppies,colkkx,10.0
puppies,fzop1f,15.0
puppies,ddb40e,17.0
puppies,fmpadu,12.0
puppies,k624r2,17.0
puppies,nqj0i9,11.0
puppies,jmq0hr,14.0
puppies,j4trsd,12.0
puppies,mopyzz,8.0
puppies,il1yub,12.0
puppies,k5lhf1,11.0
puppies,jkeni1,13.0
puppies,gezi3f,15.0
puppies,fsfbe3,13.0
puppies,k2n5pv,11.0
puppies,e7emdg,24.0
puppies,f5zo20,15.0
puppies,mjgzpx,11.0
puppies,j69ij7,13.0
puppies,ehq8xt,11.0
puppies,lzte51,8.0
puppies,nlys8b,10.0
puppies,o9hpg3,24.0
puppies,hnd2et,11.0
puppies,etjo1d,9.0
puppies,fqnjo3,13.0
puppies,gejruq,16.0
puppies,kprtuu,9.0
puppies,kylck6,19.0
puppies,kkvtwz,10.0
puppies,gv4hjv,17.0
puppies,m0edkg,15.0
puppies,ksuu0s,19.0
puppies,nq1uwc,10.0
puppies,kpf0gh,23.0
puppies,jg043h,11.0
puppies,mk7ul7,15.0
puppies,i1y7wo,22.0
puppies,n48le0,6.0
puppies,fzq551,22.0
puppies,jb259u,6.0
puppies,mm93iw,9.0
puppies,fgs1ze,18.0
puppies,e3t8yw,10.0
puppies,kbsfq7,9.0
puppies,jak06h,11.0
puppies,hjad9j,11.0
puppies,ijvb6a,7.0
puppies,hyas24,21.0
puppies,fjroto,10.0
puppies,lvyokj,12.0
puppies,gxikrp,18.0
puppies,ezc1ms,20.0
puppies,fnig10,19.0
puppies,jupgy8,10.0
puppies,iw739n,4.0
puppies,cp6yze,10.0
puppies,gbjlis,14.0
puppies,jy3o7p,18.0
puppies,j23wuv,18.0
puppies,jhv07l,16.0
puppies,jikc1j,22.0
puppies,km4wbw,19.0
puppies,fbso7h,13.0
puppies,hf35fy,10.0
puppies,ct9p8u,12.0
puppies,lcgm1b,10.0
puppies,l517x0,17.0
puppies,jyazz9,10.0
puppies,kh4a15,21.0
puppies,fonlt0,10.0
puppies,krqhwu,16.0
puppies,i9dmk2,24.0
puppies,ilh764,11.0
puppies,ic2gt4,15.0
puppies,jt0f0v,22.0
puppies,keh2uj,6.0
puppies,hjyvpj,19.0
puppies,cxgdc6,13.0
puppies,izqib1,10.0
puppies,m7gtln,12.0
puppies,mrfag5,13.0
puppies,oaap6a,14.0
puppies,kl5n13,18.0
puppies,ikbu2s,12.0
puppies,cjri8a,11.0
puppies,kh7ga5,13.0
puppies,dqtvwe,12.0
puppies,frfql3,12.0
puppies,ih7ucd,11.0
puppies,k48cuf,11.0
puppies,idov9a,11.0
puppies,ielh2j,13.0
puppies,ga17bn,10.0
puppies,o3jlg5,12.0
puppies,jefmuj,10.0
puppies,m3q5ek,20.0
puppies,jsk41v,9.0
puppies,kaueah,13.0
puppies,f48mjt,12.0
puppies,hdes87,18.0
puppies,ir1eu3,4.0
puppies,iy8gxn,19.0
puppies,lowsqd,22.0
puppies,ld0j6k,15.0
puppies,n444ml,11.0
puppies,jrhx7p,13.0
puppies,kltd48,10.0
puppies,ms4awk,11.0
puppies,du4dux,14.0
puppies,nivub6,15.0
puppies,ed74fl,11.0
puppies,hhi4eu,12.0
puppies,ly3hdo,6.0
puppies,djev54,9.0
puppies,js3mpt,12.0
puppies,it4ert,12.0
puppies,jr0v3h,10.0
puppies,kuszlv,17.0
puppies,da3m7c,14.0
puppies,m1flgi,13.0
puppies,myawym,12.0
puppies,gdjub4,12.0
puppies,m45fy2,11.0
puppies,g6k229,19.0
puppies,hogjlt,16.0
puppies,hzgv25,16.0
puppies,ims75n,8.0
puppies,nwza4j,11.0
puppies,mipr2i,10.0
puppies,jk1fng,14.0
puppies,injqb6,9.0
puppies,fwg6x3,16.0
puppies,l3f0le,14.0
puppies,n9wwi8,14.0
puppies,faev8g,21.0
puppies,en2mmc,6.0
puppies,l2ema7,19.0
puppies,d4l3wx,10.0
puppies,gp4rph,10.0
puppies,f0x7t4,15.0
puppies,ceey6s,17.0
puppies,nskzc5,18.0
puppies,f5j3q1,14.0
puppies,nirr45,9.0
puppies,jlv5e7,10.0
puppies,kz0m9k,14.0
puppies,kchchy,23.0
puppies,f4twos,8.0
puppies,lo0h1c,11.0
puppies,gu4a09,21.0
puppies,igzbgz,21.0
puppies,kkuos9,13.0
puppies,kokv85,17.0
puppies,krz9zl,18.0
puppies,lbdnhd,22.0
puppies,ewyvqo,8.0
puppies,n2w3bd,12.0
puppies,jhcr7c,7.0
puppies,i32la1,13.0
puppies,jxs2i3,14.0
puppies,k4kjhm,10.0
puppies,digsfc,9.0
puppies,m38d5b,14.0
puppies,kf1ldk,15.0
puppies,hxbu5r,10.0
puppies,jasfjc,19.0
puppies,hbjulp,14.0
puppies,miaz73,19.0
puppies,im1x00,9.0
puppies,nurku4,12.0
puppies,ldy2f6,11.0
puppies,l4s87q,21.0
puppies,j5sak9,21.0
puppies,k0t0qn,17.0
puppies,n93c1o,15.0
puppies,la76hu,16.0
puppies,chp3js,20.0
puppies,m7rdzb,23.0
puppies,h8u118,13.0
puppies,nb74wa,11.0
puppies,kj1emv,12.0
puppies,e4sd2z,10.0
puppies,lkpu96,18.0
puppies,c9xrhq,9.0
puppies,k832yb,17.0
puppies,jdpg7k,8.0
puppies,fo56a2,14.0
puppies,fwkfvv,10.0
puppies,kgoa2k,13.0
puppies,frqhao,11.0
puppies,e6qvxw,12.0
puppies,muk3t4,25.0
puppies,itugdo,13.0
puppies,i9yu2o,11.0
puppies,lmvabz,22.0
puppies,kkui3t,9.0
puppies,lfzo60,18.0
puppies,ikns7s,19.0
puppies,ivpjt6,17.0
puppies,lgzzgb,13.0
puppies,j80gj6,23.0
puppies,mnqebd,10.0
puppies,e9phx3,16.0
puppies,d2padg,9.0
puppies,nk33dw,12.0
puppies,jgqsaf,24.0
puppies,jvj3qt,12.0
puppies,kf5zze,10.0
puppies,ljj6jw,25.0
puppies,lw0uo7,15.0
puppies,dhqvrl,14.0
puppies,o6vgwe,25.0
puppies,gnp3tp,9.0
puppies,io18ub,14.0
puppies,glm0t9,14.0
puppies,l7c84i,15.0
puppies,j0ltz7,17.0
puppies,nlteuw,13.0
puppies,khkwmr,11.0
puppies,l3ptm9,17.0
puppies,ka70rh,9.0
puppies,dyuzts,14.0
puppies,i138be,15.0
puppies,khro8e,26.0
puppies,kt4dom,20.0
puppies,g73cvc,11.0
puppies,io8u64,12.0
puppies,hg2wz5,18.0
puppies,fmxfa0,13.0
puppies,dc67ss,11.0
puppies,flwtfl,13.0
puppies,m20dau,20.0
puppies,ltu4tx,12.0
puppies,lc57w0,11.0
puppies,jqnom4,13.0
puppies,l1ryfn,22.0
puppies,mx07f2,14.0
puppies,n2kf1f,19.0
puppies,gvg6qs,10.0
puppies,fcedxx,12.0
puppies,lujaa3,17.0
puppies,ipq1b3,15.0
puppies,k1r18x,14.0
puppies,i6xmsr,11.0
puppies,harnex,15.0
puppies,kc0rx6,19.0
puppies,d72qi2,14.0
puppies,gcbky9,13.0
puppies,cx10st,15.0
puppies,jbsq91,13.0
puppies,m60bc9,7.0
puppies,mog3k7,11.0
puppies,cbq86u,10.0
puppies,i040a2,16.0
puppies,d9q8qt,16.0
puppies,m2u779,15.0
puppies,npo6hh,14.0
puppies,cqqt9a,17.0
puppies,nx5b16,12.0
puppies,gz5kjf,15.0
puppies,k9fd0t,20.0
puppies,kk1840,9.0
puppies,dabayc,13.0
puppies,f32iv9,13.0
puppies,f9vdaw,18.0
puppies,k1i28i,14.0
puppies,o50ge1,15.0
puppies,c83ezs,16.0
puppies,mavjj5,19.0
puppies,j066jy,19.0
puppies,dnwbnr,21.0
puppies,mqzj9k,17.0
puppies,kllu2x,13.0
puppies,ncsr36,10.0
puppies,fu3mgv,19.0
puppies,j6sbm0,16.0
puppies,jmuin8,16.0
puppies,noe8od,16.0
puppies,j1lw8c,26.0
puppies,cogm3y,12.0
puppies,fjdpyu,10.0
puppies,i5u06w,18.0
puppies,hacnvy,17.0
puppies,exnepg,16.0
puppies,l0toxt,11.0
puppies,o7yxad,16.0
puppies,i1iedk,16.0
puppies,jrbdya,15.0
puppies,iypvlm,13.0
puppies,ghqymo,17.0
puppies,igh3pb,19.0
puppies,f4q8xd,12.0
puppies,ll979v,17.0
puppies,lhu3kf,21.0
puppies,d38aqw,12.0
puppies,jevsmh,18.0
puppies,if2p60,21.0
puppies,lw2ijp,25.0
puppies,cyrywl,14.0
puppies,jvzl3m,17.0
puppies,lmv528,20.0
puppies,mja6t5,19.0
puppies,k269oh,17.0
puppies,hl2bm5,19.0
puppies,ldj3mv,15.0
puppies,kra3nt,17.0
puppies,eas066,17.0
puppies,kguf8a,12.0
puppies,f7t6hd,13.0
puppies,jm7qjx,16.0
puppies,mzvrgw,16.0
puppies,n4jlkz,16.0
puppies,gyn1a7,22.0
puppies,cexbg5,18.0
puppies,lj2ns8,22.0
puppies,lhknc2,16.0
puppies,f50gfk,15.0
puppies,j941nj,15.0
puppies,kb9y1v,17.0
puppies,d8sual,20.0
puppies,lhbhi4,20.0
puppies,nneqn8,19.0
puppies,lfeoxq,11.0
puppies,f1xq3u,24.0
puppies,dju6y2,19.0
puppies,esfg43,11.0
puppies,ngy55s,15.0
puppies,ncp8vh,12.0
PoliticalDiscussion,ig9nyp,22.0
PoliticalDiscussion,jofug7,14.0
PoliticalDiscussion,id67iw,11.0
PoliticalDiscussion,jjrpma,9.0
PoliticalDiscussion,kgmea2,18.0
PoliticalDiscussion,ndyfu5,11.0
PoliticalDiscussion,f5zuv2,11.0
PoliticalDiscussion,fzqfgm,18.0
PoliticalDiscussion,jwhyd9,12.0
PoliticalDiscussion,nvymzf,14.0
PoliticalDiscussion,iwzg76,8.0
PoliticalDiscussion,jqhrk0,14.0
PoliticalDiscussion,l1u45s,21.0
PoliticalDiscussion,j66915,11.0
PoliticalDiscussion,jk7bpi,15.0
PoliticalDiscussion,jl8ma8,18.0
PoliticalDiscussion,kf0x67,12.0
PoliticalDiscussion,jpn6em,17.0
PoliticalDiscussion,eefrgu,11.0
PoliticalDiscussion,m830ok,15.0
PoliticalDiscussion,g17dj7,7.0
PoliticalDiscussion,eikmrk,10.0
PoliticalDiscussion,ku9fjc,12.0
PoliticalDiscussion,lzuvvt,11.0
PoliticalDiscussion,jpjgzx,13.0
PoliticalDiscussion,cqug96,12.0
PoliticalDiscussion,j5bx5x,12.0
PoliticalDiscussion,kz7a2n,12.0
PoliticalDiscussion,kzcvxd,17.0
PoliticalDiscussion,ffy3df,13.0
PoliticalDiscussion,kch8bh,15.0
PoliticalDiscussion,l5o9eh,15.0
PoliticalDiscussion,earioa,14.0
PoliticalDiscussion,ko5t3a,10.0
PoliticalDiscussion,dba5jb,8.0
PoliticalDiscussion,lcrzgr,16.0
PoliticalDiscussion,fgisf7,12.0
PoliticalDiscussion,kt0ojb,9.0
PoliticalDiscussion,fxh5k0,15.0
PoliticalDiscussion,ldyrgd,16.0
PoliticalDiscussion,fws819,11.0
PoliticalDiscussion,n7rwmi,19.0
PoliticalDiscussion,esegmd,10.0
PoliticalDiscussion,jpz3c7,12.0
PoliticalDiscussion,mqthzo,14.0
PoliticalDiscussion,n3nh5j,20.0
PoliticalDiscussion,hb7a9r,10.0
PoliticalDiscussion,cjv6gj,18.0
PoliticalDiscussion,ks2z70,9.0
PoliticalDiscussion,mwyuj2,13.0
PoliticalDiscussion,kff01d,20.0
PoliticalDiscussion,jqma9a,10.0
PoliticalDiscussion,dg7eoi,23.0
PoliticalDiscussion,eppo0d,11.0
PoliticalDiscussion,en7h4d,8.0
PoliticalDiscussion,j2zuoq,17.0
PoliticalDiscussion,l0dhsv,10.0
PoliticalDiscussion,kqb1v4,12.0
PoliticalDiscussion,mi3c9v,11.0
PoliticalDiscussion,lu1901,8.0
PoliticalDiscussion,klgdaa,15.0
PoliticalDiscussion,jok7dz,20.0
PoliticalDiscussion,ddap92,9.0
PoliticalDiscussion,eafin0,13.0
PoliticalDiscussion,jqhqaj,19.0
PoliticalDiscussion,l2a46d,14.0
PoliticalDiscussion,gimpr8,15.0
PoliticalDiscussion,mv39lk,11.0
PoliticalDiscussion,i98qja,8.0
PoliticalDiscussion,m82vc0,9.0
PoliticalDiscussion,j8pju6,14.0
PoliticalDiscussion,fey7ey,17.0
PoliticalDiscussion,k3k5zc,16.0
PoliticalDiscussion,kmfbz3,14.0
PoliticalDiscussion,mocfz7,22.0
PoliticalDiscussion,jt8ijw,18.0
PoliticalDiscussion,j1z1v4,13.0
PoliticalDiscussion,hdr7qw,9.0
PoliticalDiscussion,hi5az6,11.0
PoliticalDiscussion,k0dloo,9.0
PoliticalDiscussion,ellfrg,17.0
PoliticalDiscussion,cglk6y,10.0
PoliticalDiscussion,liglw1,16.0
PoliticalDiscussion,lqr131,11.0
PoliticalDiscussion,jv2p9l,10.0
PoliticalDiscussion,e9i3r2,21.0
PoliticalDiscussion,kjsh0o,12.0
PoliticalDiscussion,l65asl,19.0
PoliticalDiscussion,goiqop,21.0
PoliticalDiscussion,m2ug4t,11.0
PoliticalDiscussion,gs0yri,13.0
PoliticalDiscussion,ep3s1d,14.0
PoliticalDiscussion,ifrt5r,11.0
PoliticalDiscussion,ec8kug,12.0
PoliticalDiscussion,k9ogub,13.0
PoliticalDiscussion,kc29uw,7.0
PoliticalDiscussion,jflsxj,18.0
PoliticalDiscussion,l4z4ba,14.0
PoliticalDiscussion,l6gmve,11.0
PoliticalDiscussion,eslcsd,13.0
PoliticalDiscussion,kvdqar,12.0
PoliticalDiscussion,mkefbp,15.0
PoliticalDiscussion,kvtvnq,12.0
PoliticalDiscussion,gehnwu,10.0
PoliticalDiscussion,e7hhfr,10.0
PoliticalDiscussion,jrfhzw,13.0
PoliticalDiscussion,i0105a,8.0
PoliticalDiscussion,gh66xh,12.0
PoliticalDiscussion,ms0cbe,10.0
PoliticalDiscussion,joldnz,20.0
PoliticalDiscussion,hmkop6,10.0
PoliticalDiscussion,e34ju2,13.0
PoliticalDiscussion,cula6s,13.0
PoliticalDiscussion,hs2yc8,16.0
PoliticalDiscussion,endz8w,9.0
PoliticalDiscussion,fza6ro,19.0
PoliticalDiscussion,ku2mlj,23.0
PoliticalDiscussion,jg6gn5,18.0
PoliticalDiscussion,jdh2a1,11.0
PoliticalDiscussion,i478ec,12.0
PoliticalDiscussion,kut31q,10.0
PoliticalDiscussion,jaa554,12.0
PoliticalDiscussion,ekojvk,15.0
PoliticalDiscussion,jpmxuh,15.0
PoliticalDiscussion,o7pfhs,12.0
PoliticalDiscussion,k2y0xk,12.0
PoliticalDiscussion,ncd842,13.0
PoliticalDiscussion,gzv0z1,6.0
PoliticalDiscussion,i4e9oe,12.0
PoliticalDiscussion,hf0oxz,12.0
PoliticalDiscussion,ix3mki,10.0
