group,name,value
puppies,ccefbd,18.0
puppies,l8kw8z,14.0
puppies,cqfwfd,7.0
puppies,k0cac1,6.0
puppies,iqcrx3,16.0
puppies,celqqd,10.0
puppies,ey3apx,13.0
puppies,mln0ee,19.0
puppies,llsgsr,9.0
puppies,kwltzt,11.0
puppies,gps5wo,11.0
puppies,d2gerf,10.0
puppies,jkx8vr,12.0
puppies,colkkx,6.0
puppies,fzop1f,13.0
puppies,ddb40e,17.0
puppies,fmpadu,12.0
puppies,k624r2,16.0
puppies,nqj0i9,10.0
puppies,jmq0hr,10.0
puppies,j4trsd,12.0
puppies,mopyzz,8.0
puppies,il1yub,12.0
puppies,k5lhf1,11.0
puppies,jkeni1,12.0
puppies,gezi3f,15.0
puppies,fsfbe3,13.0
puppies,k2n5pv,11.0
puppies,e7emdg,13.0
puppies,f5zo20,11.0
puppies,mjgzpx,7.0
puppies,j69ij7,11.0
puppies,ehq8xt,10.0
puppies,lzte51,6.0
puppies,nlys8b,8.0
puppies,o9hpg3,24.0
puppies,hnd2et,11.0
puppies,etjo1d,6.0
puppies,fqnjo3,13.0
puppies,gejruq,14.0
puppies,kprtuu,8.0
puppies,kylck6,14.0
puppies,kkvtwz,10.0
puppies,gv4hjv,17.0
puppies,m0edkg,13.0
puppies,ksuu0s,15.0
puppies,nq1uwc,9.0
puppies,kpf0gh,21.0
puppies,jg043h,8.0
puppies,mk7ul7,14.0
puppies,i1y7wo,17.0
puppies,n48le0,4.0
puppies,fzq551,21.0
puppies,jb259u,5.0
puppies,mm93iw,9.0
puppies,fgs1ze,18.0
puppies,e3t8yw,10.0
puppies,kbsfq7,6.0
puppies,jak06h,6.0
puppies,hjad9j,11.0
puppies,ijvb6a,5.0
puppies,hyas24,19.0
puppies,fjroto,10.0
puppies,lvyokj,10.0
puppies,gxikrp,13.0
puppies,ezc1ms,19.0
puppies,fnig10,19.0
puppies,jupgy8,10.0
puppies,iw739n,3.0
puppies,cp6yze,10.0
puppies,gbjlis,14.0
puppies,jy3o7p,16.0
puppies,j23wuv,18.0
puppies,jhv07l,15.0
puppies,jikc1j,16.0
puppies,km4wbw,15.0
puppies,fbso7h,14.0
puppies,hf35fy,8.0
puppies,ct9p8u,12.0
puppies,lcgm1b,9.0
puppies,l517x0,14.0
puppies,jyazz9,8.0
puppies,kh4a15,13.0
puppies,fonlt0,8.0
puppies,krqhwu,15.0
puppies,i9dmk2,21.0
puppies,ilh764,9.0
puppies,ic2gt4,10.0
puppies,jt0f0v,18.0
puppies,keh2uj,4.0
puppies,hjyvpj,17.0
puppies,cxgdc6,10.0
puppies,izqib1,7.0
puppies,m7gtln,12.0
puppies,mrfag5,8.0
puppies,oaap6a,15.0
puppies,kl5n13,14.0
puppies,ikbu2s,7.0
puppies,cjri8a,10.0
puppies,kh7ga5,13.0
puppies,dqtvwe,10.0
puppies,frfql3,9.0
puppies,ih7ucd,11.0
puppies,k48cuf,10.0
puppies,idov9a,12.0
puppies,ielh2j,11.0
puppies,ga17bn,9.0
puppies,o3jlg5,13.0
puppies,jefmuj,10.0
puppies,m3q5ek,20.0
puppies,jsk41v,9.0
puppies,kaueah,9.0
puppies,f48mjt,11.0
puppies,hdes87,15.0
puppies,ir1eu3,3.0
puppies,iy8gxn,11.0
puppies,lowsqd,21.0
puppies,ld0j6k,11.0
puppies,n444ml,8.0
puppies,jrhx7p,14.0
puppies,kltd48,9.0
puppies,ms4awk,9.0
puppies,du4dux,12.0
puppies,nivub6,15.0
puppies,ed74fl,11.0
puppies,hhi4eu,12.0
puppies,ly3hdo,5.0
puppies,djev54,9.0
puppies,js3mpt,13.0
puppies,it4ert,7.0
puppies,jr0v3h,11.0
puppies,kuszlv,16.0
puppies,da3m7c,9.0
puppies,m1flgi,11.0
puppies,myawym,8.0
puppies,gdjub4,10.0
puppies,m45fy2,10.0
puppies,g6k229,17.0
puppies,hogjlt,17.0
puppies,hzgv25,14.0
puppies,ims75n,8.0
puppies,nwza4j,9.0
puppies,mipr2i,7.0
puppies,jk1fng,15.0
puppies,injqb6,9.0
puppies,fwg6x3,17.0
puppies,l3f0le,11.0
puppies,n9wwi8,13.0
puppies,faev8g,17.0
puppies,en2mmc,4.0
puppies,l2ema7,16.0
puppies,d4l3wx,8.0
puppies,gp4rph,9.0
puppies,f0x7t4,14.0
puppies,ceey6s,15.0
puppies,nskzc5,12.0
puppies,f5j3q1,11.0
puppies,nirr45,5.0
puppies,jlv5e7,5.0
puppies,kz0m9k,8.0
puppies,kchchy,15.0
puppies,f4twos,6.0
puppies,lo0h1c,7.0
puppies,gu4a09,20.0
puppies,igzbgz,14.0
puppies,kkuos9,14.0
