group,name,value
puppies,ccefbd,1.0
puppies,l8kw8z,1.0
puppies,cqfwfd,1.0
puppies,k0cac1,1.0
puppies,iqcrx3,3.0
puppies,celqqd,1.0
puppies,ey3apx,5.0
puppies,mln0ee,1.0
puppies,llsgsr,1.0
puppies,kwltzt,2.0
puppies,gps5wo,1.0
puppies,d2gerf,1.0
puppies,jkx8vr,1.0
puppies,colkkx,1.0
puppies,fzop1f,2.0
puppies,ddb40e,1.0
puppies,fmpadu,1.0
puppies,k624r2,1.0
puppies,nqj0i9,1.0
puppies,jmq0hr,2.0
puppies,j4trsd,2.0
puppies,mopyzz,1.0
puppies,il1yub,5.0
puppies,k5lhf1,3.0
puppies,jkeni1,1.0
puppies,gezi3f,1.0
puppies,fsfbe3,2.0
puppies,k2n5pv,2.0
puppies,e7emdg,1.0
puppies,f5zo20,1.0
puppies,mjgzpx,1.0
puppies,j69ij7,1.0
puppies,ehq8xt,1.0
puppies,lzte51,1.0
puppies,nlys8b,1.0
puppies,o9hpg3,2.0
puppies,hnd2et,2.0
puppies,etjo1d,1.0
puppies,fqnjo3,2.0
puppies,gejruq,2.0
puppies,kprtuu,2.0
puppies,kylck6,1.0
puppies,kkvtwz,1.0
puppies,gv4hjv,2.0
puppies,m0edkg,2.0
puppies,ksuu0s,2.0
puppies,nq1uwc,1.0
puppies,kpf0gh,1.0
puppies,jg043h,2.0
puppies,mk7ul7,1.0
puppies,i1y7wo,1.0
puppies,n48le0,1.0
puppies,fzq551,2.0
puppies,jb259u,1.0
puppies,mm93iw,1.0
puppies,fgs1ze,2.0
puppies,e3t8yw,1.0
puppies,kbsfq7,1.0
puppies,jak06h,1.0
puppies,hjad9j,1.0
puppies,ijvb6a,1.0
puppies,hyas24,4.0
puppies,fjroto,3.0
puppies,lvyokj,2.0
puppies,gxikrp,1.0
puppies,ezc1ms,2.0
puppies,fnig10,2.0
puppies,jupgy8,2.0
puppies,iw739n,1.0
puppies,cp6yze,2.0
puppies,gbjlis,5.0
puppies,jy3o7p,2.0
puppies,j23wuv,1.0
puppies,jhv07l,1.0
puppies,jikc1j,2.0
puppies,km4wbw,1.0
puppies,fbso7h,2.0
puppies,hf35fy,1.0
puppies,ct9p8u,1.0
puppies,lcgm1b,1.0
puppies,l517x0,3.0
puppies,jyazz9,1.0
puppies,kh4a15,1.0
puppies,fonlt0,1.0
puppies,krqhwu,1.0
puppies,i9dmk2,2.0
puppies,ilh764,1.0
puppies,ic2gt4,3.0
puppies,jt0f0v,2.0
puppies,keh2uj,1.0
puppies,hjyvpj,1.0
puppies,cxgdc6,1.0
puppies,izqib1,1.0
puppies,m7gtln,1.0
puppies,mrfag5,1.0
puppies,oaap6a,1.0
puppies,kl5n13,1.0
puppies,ikbu2s,2.0
puppies,cjri8a,2.0
puppies,kh7ga5,3.0
puppies,dqtvwe,3.0
puppies,frfql3,1.0
puppies,ih7ucd,2.0
puppies,k48cuf,2.0
puppies,idov9a,1.0
puppies,ielh2j,1.0
puppies,ga17bn,1.0
puppies,o3jlg5,1.0
puppies,jefmuj,1.0
puppies,m3q5ek,3.0
puppies,jsk41v,1.0
puppies,kaueah,2.0
puppies,f48mjt,3.0
puppies,hdes87,2.0
puppies,ir1eu3,1.0
puppies,iy8gxn,1.0
puppies,lowsqd,1.0
puppies,ld0j6k,1.0
puppies,n444ml,1.0
puppies,jrhx7p,1.0
puppies,kltd48,1.0
puppies,ms4awk,1.0
puppies,du4dux,1.0
puppies,nivub6,2.0
puppies,ed74fl,2.0
puppies,hhi4eu,2.0
puppies,ly3hdo,1.0
puppies,djev54,1.0
puppies,js3mpt,2.0
puppies,it4ert,1.0
puppies,jr0v3h,2.0
puppies,kuszlv,2.0
puppies,da3m7c,1.0
puppies,m1flgi,2.0
puppies,myawym,1.0
puppies,gdjub4,2.0
puppies,m45fy2,1.0
puppies,g6k229,2.0
puppies,hogjlt,1.0
puppies,hzgv25,1.0
puppies,ims75n,1.0
puppies,nwza4j,2.0
puppies,mipr2i,1.0
puppies,jk1fng,1.0
puppies,injqb6,1.0
puppies,fwg6x3,2.0
puppies,l3f0le,2.0
puppies,n9wwi8,1.0
puppies,faev8g,1.0
puppies,en2mmc,1.0
puppies,l2ema7,3.0
puppies,d4l3wx,1.0
puppies,gp4rph,3.0
puppies,f0x7t4,2.0
puppies,ceey6s,1.0
puppies,nskzc5,1.0
puppies,f5j3q1,2.0
puppies,nirr45,1.0
puppies,jlv5e7,2.0
puppies,kz0m9k,1.0
puppies,kchchy,1.0
puppies,f4twos,1.0
puppies,lo0h1c,1.0
puppies,gu4a09,3.0
puppies,igzbgz,2.0
puppies,kkuos9,1.0
puppies,kokv85,1.0
puppies,krz9zl,1.0
puppies,lbdnhd,3.0
puppies,ewyvqo,1.0
puppies,n2w3bd,2.0
puppies,jhcr7c,2.0
puppies,i32la1,2.0
puppies,jxs2i3,2.0
puppies,k4kjhm,2.0
puppies,digsfc,1.0
puppies,m38d5b,2.0
puppies,kf1ldk,2.0
puppies,hxbu5r,1.0
puppies,jasfjc,1.0
puppies,hbjulp,1.0
puppies,miaz73,2.0
puppies,im1x00,1.0
puppies,nurku4,1.0
puppies,ldy2f6,1.0
puppies,l4s87q,1.0
puppies,j5sak9,1.0
puppies,k0t0qn,1.0
puppies,n93c1o,1.0
puppies,la76hu,1.0
puppies,chp3js,1.0
puppies,m7rdzb,1.0
puppies,h8u118,6.0
puppies,nb74wa,2.0
puppies,kj1emv,2.0
puppies,e4sd2z,1.0
puppies,lkpu96,1.0
puppies,c9xrhq,1.0
puppies,k832yb,2.0
puppies,jdpg7k,1.0
puppies,fo56a2,4.0
puppies,fwkfvv,1.0
puppies,kgoa2k,4.0
puppies,frqhao,2.0
puppies,e6qvxw,2.0
puppies,muk3t4,2.0
puppies,itugdo,1.0
puppies,i9yu2o,1.0
puppies,lmvabz,2.0
puppies,kkui3t,1.0
puppies,lfzo60,3.0
puppies,ikns7s,1.0
puppies,ivpjt6,1.0
puppies,lgzzgb,1.0
puppies,j80gj6,1.0
puppies,mnqebd,1.0
puppies,e9phx3,2.0
puppies,d2padg,1.0
puppies,nk33dw,3.0
puppies,jgqsaf,2.0
puppies,jvj3qt,1.0
puppies,kf5zze,1.0
puppies,ljj6jw,1.0
puppies,lw0uo7,1.0
puppies,dhqvrl,3.0
puppies,o6vgwe,4.0
puppies,gnp3tp,1.0
puppies,io18ub,1.0
puppies,glm0t9,1.0
puppies,l7c84i,1.0
puppies,j0ltz7,1.0
puppies,nlteuw,1.0
puppies,khkwmr,1.0
puppies,l3ptm9,2.0
puppies,ka70rh,1.0
puppies,dyuzts,1.0
puppies,i138be,1.0
puppies,khro8e,2.0
puppies,kt4dom,2.0
puppies,g73cvc,2.0
puppies,io8u64,1.0
puppies,hg2wz5,1.0
puppies,fmxfa0,5.0
puppies,dc67ss,1.0
puppies,flwtfl,2.0
puppies,m20dau,4.0
puppies,ltu4tx,1.0
puppies,lc57w0,1.0
puppies,jqnom4,1.0
puppies,l1ryfn,2.0
puppies,mx07f2,2.0
puppies,n2kf1f,1.0
puppies,gvg6qs,1.0
puppies,fcedxx,5.0
puppies,lujaa3,2.0
puppies,ipq1b3,2.0
puppies,k1r18x,1.0
puppies,i6xmsr,1.0
puppies,harnex,2.0
puppies,kc0rx6,2.0
puppies,d72qi2,3.0
puppies,gcbky9,2.0
puppies,cx10st,1.0
puppies,jbsq91,1.0
puppies,m60bc9,2.0
puppies,mog3k7,2.0
puppies,cbq86u,1.0
puppies,i040a2,1.0
